PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,TEAM_COUNT,YEARS_PLAYED,PTS_Z,REB_Z,AST_Z,BLK_Z,STL_Z
1628378,Donovan Mitchell,1610612739,CLE,29.0,70,45,25,0.643,33.5,9.7,20.0,0.483,3.2,8.8,0.364,5.3,6.1,0.865,4.5,5.7,2.8,1.5,0.3,47,163,323,27.9,370,1,9,2.4,-0.16,1.34,-0.55,1.69
1628978,Donte DiVincenzo,1610612750,MIN,29.0,82,49,33,0.598,30.4,4.1,10.2,0.406,3.0,7.9,0.379,1.0,1.3,0.743,4.1,3.8,1.4,1.3,0.4,15,197,121,12.2,337,1,8,-0.34,-0.34,0.32,-0.31,1.09
1642962,Drake Powell,1610612751,BKN,20.0,63,16,47,0.254,20.9,2.3,5.7,0.402,0.8,2.9,0.28,1.1,1.2,0.896,1.8,1.4,1.0,0.6,0.2,26,89,50,6.5,-447,1,1,-1.33,-1.38,-0.97,-0.79,-1.01
203110,Draymond Green,1610612744,GSW,36.0,68,31,37,0.456,27.5,3.0,7.2,0.418,1.5,4.6,0.326,0.9,1.2,0.702,5.5,5.5,2.7,0.9,0.6,16,197,112,8.4,-134,1,14,-1.0,0.29,1.24,0.16,-0.11
1629130,Duncan Robinson,1610612765,DET,32.0,77,58,19,0.753,27.4,4.1,9.1,0.456,2.9,7.0,0.41,1.1,1.4,0.755,2.7,2.1,0.7,0.6,0.3,16,168,115,12.2,536,1,8,-0.34,-0.97,-0.6,-0.55,-1.01
1642928,Dylan Cardwell,1610612758,SAC,24.0,44,13,31,0.295,20.6,2.4,4.1,0.587,0.0,0.1,0.5,0.6,1.2,0.51,7.5,1.4,0.9,0.7,1.5,19,161,51,5.4,-66,1,1,-1.52,1.2,-0.97,2.31,-0.71
1642844,Dylan Harper,1610612759,SAS,20.0,69,53,16,0.768,22.6,4.8,9.5,0.505,0.9,2.6,0.343,1.3,1.7,0.756,3.4,3.9,1.4,0.8,0.3,55,139,94,11.8,303,1,1,-0.41,-0.66,0.37,-0.55,-0.41
1630700,Dyson Daniels,1610612737,ATL,23.0,76,44,32,0.579,33.2,5.3,10.2,0.517,0.3,1.5,0.188,1.0,1.6,0.615,6.8,5.9,1.8,2.0,0.4,42,166,131,11.9,306,1,5,-0.39,0.88,1.45,-0.31,3.18
1642856,Egor Dëmin,1610612751,BKN,20.0,52,14,38,0.269,25.2,3.4,8.6,0.399,2.4,6.2,0.385,1.0,1.2,0.831,3.2,3.3,1.7,0.8,0.3,16,93,61,10.3,-161,1,1,-0.67,-0.75,0.05,-0.55,-0.41
1630679,Ethan Thompson,1610612754,IND,27.0,32,8,24,0.25,20.4,2.3,6.1,0.378,1.2,3.6,0.328,1.2,1.5,0.787,2.2,1.8,0.8,0.6,0.3,13,69,45,7.0,1,1,2,-1.24,-1.2,-0.76,-0.55,-1.01
1630596,Evan Mobley,1610612739,CLE,24.0,65,40,25,0.615,31.9,7.2,13.2,0.546,1.0,3.2,0.297,2.8,4.6,0.606,9.0,3.6,1.9,0.7,1.7,48,159,228,18.2,224,1,5,0.71,1.88,0.21,2.78,-0.71
1630532,Franz Wagner,1610612753,ORL,24.0,34,20,14,0.588,30.0,7.2,14.9,0.481,1.4,4.1,0.345,4.8,5.8,0.823,5.2,3.3,1.7,0.9,0.3,35,72,153,20.6,80,1,5,1.13,0.16,0.05,-0.55,-0.11
1641713,GG Jackson,1610612763,MEM,21.0,55,16,39,0.291,21.4,4.6,9.3,0.496,1.2,3.5,0.332,2.0,2.7,0.742,4.3,1.5,1.5,0.6,0.8,35,75,105,12.5,-85,1,3,-0.28,-0.25,-0.92,0.64,-1.01
1629018,Gary Trent Jr.,1610612749,MIL,27.0,65,24,41,0.369,21.2,2.8,7.3,0.387,1.9,5.3,0.36,0.6,0.8,0.769,1.0,1.2,0.6,0.5,0.0,15,85,47,8.1,-348,1,8,-1.05,-1.74,-1.08,-1.27,-1.3
203507,Giannis Antetokounmpo,1610612749,MIL,31.0,36,17,19,0.472,28.9,10.4,16.6,0.624,0.4,1.2,0.333,6.4,9.9,0.65,9.8,5.4,3.2,0.9,0.7,35,86,290,27.6,96,1,13,2.35,2.24,1.18,0.4,-0.11
1628960,Grayson Allen,1610612756,PHX,30.0,51,26,25,0.51,28.8,5.3,13.1,0.403,3.1,8.9,0.349,2.8,3.3,0.857,3.0,3.8,1.6,1.4,0.3,30,117,154,16.5,18,1,8,0.41,-0.84,0.32,-0.55,1.39
1630611,Gui Santos,1610612744,GSW,23.0,68,29,39,0.426,20.5,3.4,6.8,0.5,1.1,3.3,0.351,1.3,1.8,0.725,3.9,2.3,1.5,0.9,0.3,32,142,119,9.2,35,1,3,-0.86,-0.43,-0.49,-0.55,-0.11
203084,Harrison Barnes,1610612759,SAS,34.0,77,57,20,0.74,25.8,3.4,7.5,0.456,1.8,4.6,0.388,1.3,1.6,0.829,2.8,1.9,0.8,0.6,0.2,21,85,103,9.9,329,1,14,-0.74,-0.93,-0.71,-0.79,-1.01
1630529,Herbert Jones,1610612740,NOP,27.0,56,22,34,0.393,28.4,3.3,8.5,0.383,1.4,4.6,0.309,0.9,1.1,0.806,3.4,2.8,1.3,1.6,0.5,27,177,65,8.9,-49,1,5,-0.91,-0.66,-0.22,-0.07,1.98
1630193,Immanuel Quickley,1610612761,TOR,26.0,70,41,29,0.586,31.9,5.7,12.9,0.443,2.5,6.8,0.374,2.4,3.0,0.821,4.0,5.9,1.5,1.3,0.1,42,141,186,16.4,117,1,6,0.39,-0.39,1.45,-1.03,1.09
1630171,Isaac Okoro,1610612741,CHI,25.0,63,26,37,0.413,26.9,3.3,7.3,0.46,1.2,3.5,0.33,1.4,1.8,0.795,2.7,1.6,0.7,0.7,0.5,28,162,107,9.3,-335,1,6,-0.84,-0.97,-0.87,-0.07,-0.71
1642268,Isaiah Collier,1610612762,UTA,21.0,59,16,43,0.271,25.7,4.3,8.7,0.495,0.5,1.7,0.27,2.6,3.5,0.722,2.5,7.2,2.5,1.1,0.3,55,138,153,11.7,-443,1,2,-0.42,-1.07,2.15,-0.55,0.49
1628392,Isaiah Hartenstein,1610612760,OKC,28.0,47,39,8,0.83,24.2,3.9,6.3,0.622,0.0,0.1,0.0,1.4,2.2,0.61,9.4,3.5,1.7,1.0,0.8,17,118,97,9.2,365,1,8,-0.86,2.06,0.16,0.64,0.19
1630198,Isaiah Joe,1610612760,OKC,26.0,71,56,15,0.789,21.2,3.5,7.6,0.455,2.5,6.0,0.423,1.5,1.7,0.894,2.5,1.3,0.6,0.7,0.2,17,121,133,11.1,356,1,6,-0.53,-1.07,-1.03,-0.79,-0.71
1630191,Isaiah Stewart,1610612765,DET,25.0,58,42,16,0.724,22.7,3.8,6.9,0.55,0.7,2.1,0.333,1.7,2.3,0.756,5.0,1.1,1.2,0.3,1.6,23,166,122,10.0,39,1,6,-0.72,0.07,-1.14,2.55,-1.9
